"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","taxon"
300.5,67,372,1,58.66,0.004,12.72,48.02,53.56,159,272.98,301.325,1,1,14.0029800251208,1,"LEUCTRA SP."
693.4,34.475,369,2,41.9,0.036,2.36,30.45,32.295,69.65,419.299999999999,677.9325,0.676,0.94,3.94092687211548,0,"PARAMETRIOCNEMUS SP."
676.75,42.4,331,1,48.4,0.004,7.05,28.775,29.475,42.825,123.6,176.1075,0.996,0.996,8.25713004554374,1,"AMPHINEMURA SP."
693.4,164.5,325,1,44.19,0.004,6.38,139.725,149.95,185.5,413.5,416.5,1,1,6.48289157061957,1,"POLYPEDILUM AVICEPS"
588,49.05,325,1,47.9,0.004,8.18,39.265,45.35,85.725,273.46,277.0775,1,1,8.74093737463492,1,"STEMPELLINELLA SP."
17.05,28.95,312,1,51.41,0.004,5.88,24.3875,26.64,39.9,328.45,355.5925,1,1,7.4066742637733,1,"MICROPSECTRA SP."
997.95,78.9166666666667,272,2,35.3,0.004,4.63,51.725,52.2,74.35,94.9,116.33,0.96,0.996,5.26507313538355,2,"MICROTENDIPES PEDELLUS GR."
23.4,28.95,272,1,44.85,0.004,4.5,23.25,23.35,29.0416666666667,105.11,324.974999999999,0.976,0.96,5.66189510477325,1,"TANYTARSUS SP."
17.05,69.05,266,1,46.92,0.004,14.44,43.2625,48.15,69.4,102.305,130.775,1,1,15.2662884741322,1,"HEXATOMA SP."
19.05,34.05,263,1,36.94,0.008,3.32,19.05,19.05,33.85,230.6,320.892499999999,0.98,0.944,4.54725845572394,0,"SIMULIUM SP."
362.75,106.0625,250,1,39.84,0.004,9.6,104.7525,107.05,146.75,365.05,372.18,1,1,11.1748189908931,1,"EPHEMERELLA DOROTHEA"
16.85,69.8,248,1,55.02,0.004,18.4,58.2225,62.0275,69.45,111.345,119.465,1,1,19.8689861708679,1,"OULIMNIUS LATUSCULUS"
962.5,270.15,247,1,32.87,0.004,3.95,67.9075,69.545,194.525,460.23125,473.125,0.988,1,4.82518760683375,1,"BAETIS SP."
388.7,271.75,247,1,44.01,0.004,9.25,171.2,182,270.15,317,337,1,1,10.0169443024759,1,"LEPTOPHLEBIIDAE"
1061.45,327.15,246,1,35.91,0.004,5.19,57.5,162,234.075,339.11,354.325,0.976,1,5.8084522453631,1,"CONCHAPELOPIA/HELOPELOPIA"
633.1,56.3,233,2,27.49,0.024,2.3,44.8725,54.25,112.45,602.1,633.1,0.568,0.94,3.37040401792391,0,"TVETENIA BAVARICA GR."
66.35,67,230,2,40.44,0.004,11.09,62.0225,62.7,66.575,93.67375,135.4,1,1,11.6617363172892,2,"CRYPTOCHIRONOMUS SP."
584.5,162,230,1,38.92,0.004,10.33,57.3225,64.1,142.3,162.05,173.57,1,1,10.6438962555603,1,"ISOPERLA SP."
454.0125,415.5,226,1,40.26,0.004,4.61,33.03,95.525,162,422.65,427.6625,0.924,1,5.57246097022036,0,"ACENTRELLA SP."
62.5,62.85,224,1,55.88,0.004,19.69,56.945,61.665,65.2,77.26375,83.585,1,1,19.8244048500149,1,"EPEORUS SP."
16.85,48.95,217,2,29.87,0.004,4.97,23.18625,23.5,58,152.11,375.327499999998,0.996,0.996,5.76821960357906,2,"CHEUMATOPSYCHE SP."
997.95,387.7,211,1,27.84,0.028,2.41,20.6666666666667,22.355,35.9,388.4,389,0.932,0.964,3.74067759920117,0,"CAMBARIDAE"
827,105,198,2,31.1,0.004,7.17,66.1475,93.795,108,217.551666666667,228.57,1,1,7.78303060855717,2,"OPTIOSERVUS SP."
29.5,45.35,198,1,45.38,0.004,16.72,40.6575,45.095,52.25,63.76,71.2649999999999,1,1,16.9190624071725,1,"RHYACOPHILA SP."
16.85,43.35,197,2,33.79,0.004,6.48,35.445,35.8,44.4,89.035,132.15,1,1,6.9969284594539,2,"POLYPEDILUM CONVICTUM GR."
16.55,530.35,191,1,24.1,0.236,0.63,23.05,23.47,108.425,596.2,980.9475,0.684,0.832,2.95270359212885,0,"ANTOCHA SP."
997.95,337.5,190,1,26.13,0.008,3.43,25.2766666666667,29.87,302.25,390.225,997.95,0.736,1,4.14247418708367,0,"NIGRONIA SP."
38.45,69.4,182,1,34.5,0.004,12.11,39.9,45.345,67.9,162,174.31,1,1,12.8463348309245,1,"DICRANOTA SP."
16.55,29.1,182,1,39.43,0.004,6.55,23.2,23.5,31.7,304.05,314.6,1,1,7.26298707435861,1,"ZAVRELIMYIA SP."
19.05,80.05,178,2,27.44,0.004,6.2,65.625,66.95,75.1,107.715,116.6,0.996,1,6.95902208114325,2,"CONCHAPELOPIA SP."
21.1,48.7833333333333,178,1,57.7,0.004,23.03,43.4,44.765,49.7,58.02,62.6925,1,1,24.2099649248657,1,"LEPIDOSTOMA SP."
827,56.9,176,2,26.17,0.004,5.43,45.0225,45.69,70.65,147.64,151.95,0.996,0.992,6.24479875860695,2,"POLYPEDILUM SCALAENUM GR."
272.9,135.5,175,1,33.8,0.004,10.34,67.99,71.98,127.5,162,234.0825,1,1,11.3555942341564,1,"DOLOPHILODES SP."
