taxon,dkappa
CAENIS,-312.0370370370374
ABLABESMYIA,-27.943865740740886
PROCLADIUS,-453.5451388888893
DICROTENDIPES,-290.9728009259259
TANYTARSUS,-331.1562499999996
HYALELLA,87.28009259259255
BEZZIA/PALPOMYIA,-255.61342592592575
POLYPEDILUM,-268.3188657407407
ARRENURUS,-107.98668981481482
CHIRONOMUS,65.99189814814812
OECETIS,-272.5318287037036
CLADOTANYTARSUS,-119.25520833333343
GLYPTOTENDIPES,113.80497685185192
PHYSA,43.39004629629621
DERO,-119.32118055555584
COENAGRIONIDAE,-19.185763888888875
PSEUDOCHIRONOMUS,-50.465856481481204
PARATANYTARSUS,129.0028935185185
GYRAULUS,20.58796296296298
NAIS,-2.8761574074074034
ENDOCHIRONOMUS,42.50983796296283
SPHAERIIDAE,-80.87268518518538
CRICOTOPUS,-7.1869212962962905
NEUMANIA,-105.79398148148171
PARACHIRONOMUS,175.57060185185182
PSECTROCLADIUS,85.11226851851853
ZAVRELIELLA,-55.79571759259247
HELOBDELLA,-134.30150462962968
CRYPTOCHIRONOMUS,-162.87094907407408
LIMNESIA,21.690393518518515
CALLIBAETIS,-46.56018518518516
KOENIKEA,-152.77893518518508
CLADOPELMA,116.65277777777784
OXYETHIRA,38.38194444444423
LABRUNDINIA,-84.47627314814814
PARAKIEFFERIELLA,-153.66840277777789
ORTHOTRICHIA,-202.6909722222226
LARSIA,38.75983796296321
NANOCLADIUS,-110.99189814814815
PISIDIUM,-42.06192129629624
UNIONICOLA,17.683449074074133
STYLARIA,205.9230324074074
DASYHELEA,-112.50462962962956
MICROTENDIPES,19.5335648148148
TURBELLARIA,-204.9224537037037
TANYPUS,-8.502314814814753
CLINOTANYPUS,-260.6712962962964
ENCHYTRAEIDAE,-16.160300925925924
PIONA,-29.594328703703724
CORYNONEURA,-34.10300925925927
AULODRILUS,-114.15162037037045
LIBELLULIDAE,-261.3952546296296
MICROMENETUS,-318.8674768518518
MIDEOPSIS,-386.3252314814818
GUTTIPELOPIA,-130.79803240740736
HYDRODROMA,45.80671296296301
CRYPTOTENDIPES,-200.1892361111111
HALIPLUS,-27.877893518518505
DUBIRAPHIA,-58.93807870370375
CRICOTOPUS/ORTHOCLADIUS,122.50578703703708
LAUTERBORNIELLA,1.0810185185186232
PRISTINA,-15.627893518518865
PELTODYTES,-206.69907407407425
NILOTHAUMA,72.43923611111094
KRENDOWSKIA,-141.67013888888894
HAEMONAIS,-95.57060185185166
MYSTACIDES,50.66724537037035
CHAETOGASTER,2.0283564814814845
PHAENOPSECTRA,-51.077546296296305
THIENEMANNIMYIA GENUS GR.,106.46006944444433
LUMBRICULIDAE,-40.80034722222222
OXUS,-197.43865740740753
LEBERTIA,28.089699074074066
BEROSUS,-223.38252314814818
ERPOBDELLA,-29.113425925925934
LIBELLULIDAE/CORDULIIDAE,-401.48321759259244
STENOCHIRONOMUS,54.472800925925945
ENALLAGMA,-9.259837962963028
ALBIA,-74.4427083333336
CAECIDOTEA,-123.49189814814805
CORDULIIDAE,-110.47337962962949
PLANORBELLA,0.22222222222220012
GAMMARUS,2.7887731481481466
FERRISSIA,161.70138888888894
HELISOMA,214.1371527777776
SLAVINA,-117.35879629629646
BRATISLAVIA,-205.25405092592598
LYMNAEIDAE,-26.24884259259259
SIALIS,-101.94386574074075
AMNICOLA,68.36053240740738
VALVATA,19.979745370370388
HYDROPTILA,121.3501157407407
GOMPHIDAE,26.492476851851738
LIMNODRILUS,-110.85648148148147
TRIBELOS,-60.164930555555465
HYDRA,36.540509259259274
PAGASTIELLA,-6.765625000000081
FORELIA,40.98206018518536
POLYCENTROPUS,118.883101851852
PROMENETUS,45.33333333333335
